Source,Type,Transition,D_pc,T_mb_peak_K,V_exp_kms,theta_arcsec,W,f_CO,s_J,Mdot_thin_Msunyr,Mdot_thick_Msunyr
IRAS_06531,C star,CO(1-0),1158.35,0.3379,26.67,12.3108,0.7572,0.001,1.0,5.1847e-07,1.2139e-06
IRAS_06531,C star,CO(2-1),1158.35,1.4107,25.55,5.4889,0.7572,0.001,0.6,6.2803e-07,1.5411e-06
IRAS_07145,C star,CO(1-0),4144.8,0.1788,28.13,10.0596,7.6518,0.001,1.0,1.2399e-06,6.1091e-06
IRAS_07145,C star,CO(2-1),4144.8,0.5994,28.2,5.4285,7.6518,0.001,0.6,1.8686e-06,9.9890e-06
IRAS_07180,OH/IR star,CO(1-0),1168.22,0.0424,20.87,10.0596,0.5282,0.001,1.0,4.7373e-08,6.3346e-08
IRAS_07180,OH/IR star,CO(2-1),1168.22,0.3485,12.73,5.4285,0.5282,0.001,0.6,6.0626e-08,9.4018e-08
IRAS_08500,Mira M,CO(1-0),1526.72,1.2623,11.08,12.1053,1.067,0.0002,1.0,2.1829e-06,5.1634e-06
IRAS_08500,Mira M,CO(2-1),1526.72,1.2623,11.08,5.7908,1.067,0.0002,0.6,9.7766e-07,1.9693e-06
RV_Aqr,C star,CO(1-0),635.24,4.7257,12.8,12.1053,0.3586,0.001,1.0,2.7735e-06,4.4662e-06
RZ_Sgr,S star,CO(1-0),730.0,4.8113,6.42,11.0025,0.568,0.0006,1.0,2.4300e-07,4.9049e-07
UU_For,Mira M,CO(1-0),614.76,1.7344,12.74,11.6893,0.1662,0.0002,1.0,1.5267e-06,1.4181e-06
R_Hor,Mira M,CO(1-0),231.29,6.4034,6.99,11.0979,0.0432,0.0002,1.0,3.0866e-06,2.0109e-07
V510_Pup,Post-AGB F5Ie,CO(1-0),436.26,0.0515,101.54,12.4394,0.0431,0.0004,1.0,1.3383e-05,8.4629e-07
V510_Pup,Post-AGB F5Ie,CO(2-1),436.26,0.6814,178.06,5.5175,0.0431,0.0004,0.6,1.2731e-04,1.1290e-05
