#  lambda(micron)  Flux(Jy)  F_Er(Jy)  F_Norm_Er(Jy)
  2.36000   0.93000   0.09000   0.09000 
  2.36050   0.94000   0.09000   0.09000 
  2.36100   0.96000   0.09000   0.09000 
  2.36150   0.99000   0.09000   0.09000 
  2.36200   1.01000   0.09000   0.09000 
  2.36250   1.04000   0.09000   0.09000 
  2.36300   1.06000   0.09000   0.09000 
  2.36350   1.08000   0.09000   0.09000 
  2.36400   1.09000   0.09000   0.09000 
  2.36450   1.09000   0.09000   0.09000 
  2.36500   1.08000   0.09000   0.09000 
  2.36550   1.05000   0.09000   0.09000 
  2.36600   1.01000   0.09000   0.09000 
  2.36650   0.97000   0.09000   0.09000 
  2.36700   0.92000   0.09000   0.09000 
  2.36750   0.87000   0.09000   0.09000 
  2.36800   0.83000   0.09000   0.09000 
  2.36850   0.79000   0.09000   0.09000 
  2.36900   0.76000   0.09000   0.09000 
  2.36950   0.73000   0.09000   0.09000 
  2.37000   0.71000   0.09000   0.09000 
  2.37050   0.69000   0.09000   0.09000 
  2.37100   0.66000   0.09000   0.09000 
  2.37150   0.63000   0.09000   0.09000 
  2.37200   0.59000   0.09000   0.09000 
  2.37250   0.55000   0.09000   0.09000 
  2.37300   0.49000   0.09000   0.09000 
  2.37350   0.44000   0.09000   0.09000 
  2.37400   0.38000   0.09000   0.09000 
  2.37450   0.33000   0.09000   0.09000 
  2.37500   0.29000   0.08000   0.08000 
  2.37550   0.26000   0.08000   0.08000 
  2.37600   0.24000   0.08000   0.08000 
  2.37650   0.24000   0.08000   0.08000 
  2.37700   0.25000   0.08000   0.08000 
  2.37750   0.27000   0.08000   0.08000 
  2.37800   0.30000   0.08000   0.08000 
  2.37850   0.34000   0.08000   0.08000 
  2.37900   0.38000   0.08000   0.08000 
  2.37950   0.43000   0.08000   0.08000 
  2.38000   0.49000   0.08000   0.08000 
  2.38050   0.54000   0.08000   0.08000 
  2.38100   0.60000   0.08000   0.08000 
  2.38150   0.66000   0.08000   0.08000 
  2.38200   0.71000   0.08000   0.08000 
  2.38250   0.76000   0.08000   0.08000 
  2.38300   0.80000   0.08000   0.08000 
  2.38350   0.83000   0.08000   0.08000 
  2.38400   0.84000   0.08000   0.08000 
  2.38450   0.84000   0.08000   0.08000 
  2.38500   0.82000   0.08000   0.08000 
  2.38550   0.80000   0.08000   0.08000 
  2.38600   0.77000   0.08000   0.08000 
  2.38650   0.73000   0.08000   0.08000 
  2.38700   0.69000   0.08000   0.08000 
  2.38750   0.66000   0.08000   0.08000 
  2.38800   0.62000   0.08000   0.08000 
  2.38850   0.59000   0.08000   0.08000 
  2.38900   0.57000   0.08000   0.08000 
